Metric,Validation,Test
loss,0.11314710974693298,0.1140071377158165
mse,0.11314710974693298,0.1140071377158165
mae,0.224842831492424,0.22563119232654572
rmse,0.3363734781742096,0.3376494348049164
mape,1.779535174369812,1.7344491481781006
